pricing_plan_id,app_id,feature
2909,1596,Background for mobile
2909,1596,Double Opt-in
2909,1596,Download emails
2910,1596,Features of Gold plan
2910,1596,"Additional fields (Gender, Age, Birthday, Occupation, etc.)"
2910,1596,"Popup Statistics (views, subscription per day, etc.)"
2911,1597,Supports up to 5000 SKUs
2911,1597,1 Free Feed Setup
2911,1597,Scheduled Feed Syncs- Weekly
2911,1597,Email and Phone Support
2911,1597,No Limitation on feature
2912,1597,"Supports up to 20,000 SKUs"
2912,1597,3 Free Feed Setup
2912,1597,Scheduled Feed Syncs- Weekly
2912,1597,Email and Phone Support
2912,1597,No Limitation on features
2913,1597,"Supports up to 100,000 SKUs"
2913,1597,5 Free Feed Setup
2913,1597,Scheduled Feed Update– Daily
2913,1597,Email and Phone Support
2913,1597,Extendable Trial
2913,1597,No Limitation on feature
2914,1598,Easy site building
2914,1598,Page templates
2914,1598,24/7 support
2914,1598,Page builder
2914,1598,Product widget
2914,1598,Product carousel widget
2914,1598,Product pages
2916,1600,Import Unlimited reviews from Aliexpress and Amazon
2917,1600,"Import Unlimited reviews from Aliexpress,Amazon,Dhgate,Walmart,Banggood,Sammydress."
2918,1601,Shopify Only
2918,1601,Up To 100 SKU's
2918,1601,Up To 1000 Orders
2918,1601,Flat File Fulfillment Integrations
2918,1601,Business Hours Phone + Email
2919,1601,Shopify Only
2919,1601,Up To 500 SKU's
2919,1601,Up To 2750 Orders
2919,1601,"Flat File, EDI Fulfillment Integrations"
2919,1601,Business Hours Phone + Email
2920,1601,+ERP / Accounting Integration
2920,1601,Up To 500 SKU's
2920,1601,Up To 7500 Orders
2920,1601,"Flat File, EDI Fulfillment Integrations"
2920,1601,+ Fanatical Support
2922,1603,Build up to 5 boards for FREE.
2923,1603,Build up to 15 boards for $14.99 per month.
2924,1603,Build up to 25 boards for $19.99 per month.
2925,1603,Build up to 50 boards for $29.99 per month.
2926,1604,"Invoice using Fakturoid.cz + Free fakturoid.cz plan, the application will work, but only for 5 customers."
2927,1604,Invoice using Fakturoid.cz + Sólo fakturoid.cz plan. Plan is suited for most smaller ecommerces.
2928,1604,Invoice using Fakturoid.cz + (Sólo plus) fakturoid.cz plan. Plan is suited for most medium ecommerces.
